City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,broken clouds,76.96,89,66,5.01,EC,2022-08-07 20:28:44
1,Greenville,35.6127,-77.3663,clear sky,91.56,57,0,11.5,US,2022-08-07 20:34:19
2,Jamestown,42.097,-79.2353,clear sky,90.01,49,0,10.36,US,2022-08-07 20:28:37
3,Hobart,-42.8794,147.3294,few clouds,35.06,95,20,1.99,AU,2022-08-07 20:28:51
4,Upernavik,72.7868,-56.1549,broken clouds,42.37,83,78,8.23,GL,2022-08-07 20:30:02
5,Zhigansk,66.7697,123.3711,overcast clouds,49.62,93,93,16.96,RU,2022-08-07 20:33:27
6,Port Lincoln,-34.7333,135.8667,clear sky,47.64,76,1,7.14,AU,2022-08-07 20:34:16
7,Hermanus,-34.4187,19.2345,overcast clouds,49.8,84,91,0.36,ZA,2022-08-07 20:29:57
8,Avarua,-21.2078,-159.775,scattered clouds,73.45,64,40,17.27,CK,2022-08-07 20:30:18
9,Provideniya,64.3833,-173.3,overcast clouds,46.51,81,100,15.99,RU,2022-08-07 20:35:37
10,Cabo San Lucas,22.8909,-109.9124,scattered clouds,89.19,71,40,12.66,MX,2022-08-07 20:30:39
11,Kodiak,57.79,-152.4072,clear sky,60.31,51,0,4.61,US,2022-08-07 20:35:38
12,Rikitea,-23.1203,-134.9692,overcast clouds,72.52,65,100,31.74,PF,2022-08-07 20:28:41
13,Busselton,-33.65,115.3333,overcast clouds,57.58,68,100,18.79,AU,2022-08-07 20:28:42
14,Ushuaia,-54.8,-68.3,clear sky,40.66,56,0,5.75,AR,2022-08-07 20:28:36
15,Barrow,71.2906,-156.7887,overcast clouds,42.82,81,100,4.61,US,2022-08-07 20:28:39
16,Beringovskiy,63.05,179.3167,few clouds,43.12,63,12,30.11,RU,2022-08-07 20:35:39
17,Oranjemund,-28.55,16.4333,clear sky,54.48,86,0,4.79,NA,2022-08-07 20:35:39
18,Saveh,35.0213,50.3566,scattered clouds,92.35,19,42,5.59,IR,2022-08-07 20:35:40
19,Belaya Gora,68.5333,146.4167,broken clouds,56.75,46,76,14.7,RU,2022-08-07 20:35:40
20,Aripuana,-9.1667,-60.6333,moderate rain,89.38,45,77,2.37,BR,2022-08-07 20:35:41
21,Deputatskiy,69.3,139.9,overcast clouds,46.67,96,100,4.23,RU,2022-08-07 20:35:41
22,Sungaipenuh,-2.0833,101.3833,overcast clouds,63.7,96,87,1.83,ID,2022-08-07 20:35:42
23,Punta Arenas,-53.15,-70.9167,few clouds,39.31,75,20,12.66,CL,2022-08-07 20:30:16
24,Kingman,35.1894,-114.053,clear sky,98.26,23,0,6.91,US,2022-08-07 20:35:43
25,Pisco,-13.7,-76.2167,few clouds,66.25,68,20,13.8,PE,2022-08-07 20:35:43
26,Bereda,43.2686,-7.5406,scattered clouds,64.58,100,47,5.55,ES,2022-08-07 20:35:43
27,Bluff,-46.6,168.3333,scattered clouds,33.8,66,46,18.97,NZ,2022-08-07 20:28:43
28,Lompoc,34.6391,-120.4579,clear sky,88.02,64,0,18.41,US,2022-08-07 20:30:00
29,Santa Marta,11.2408,-74.199,scattered clouds,89.65,62,40,9.22,CO,2022-08-07 20:35:44
30,Airai,-8.9266,125.4092,clear sky,57.34,58,9,2.95,TL,2022-08-07 20:30:10
31,Flinders,-34.5833,150.8552,scattered clouds,52.18,78,26,5.99,AU,2022-08-07 20:35:45
32,Tombouctou,20.0,-3.0,clear sky,104.92,9,0,6.89,ML,2022-08-07 20:28:43
33,Norfolk,42.1668,-71.2495,few clouds,96.42,52,20,10.36,US,2022-08-07 20:35:46
34,Tuktoyaktuk,69.4541,-133.0374,overcast clouds,46.4,76,100,5.75,CA,2022-08-07 20:30:12
35,Albany,42.6001,-73.9662,broken clouds,93.27,62,83,1.01,US,2022-08-07 20:26:08
36,New Norfolk,-42.7826,147.0587,few clouds,34.72,86,13,2.59,AU,2022-08-07 20:35:47
37,Vaini,-21.2,-175.2,few clouds,77.16,88,20,6.91,TO,2022-08-07 20:28:57
38,Kajaani,64.2273,27.7285,few clouds,53.65,82,20,6.91,FI,2022-08-07 20:35:47
39,Fortuna,40.5982,-124.1573,overcast clouds,71.92,76,100,8.05,US,2022-08-07 20:35:48
40,Emba,48.8264,58.1442,overcast clouds,77.4,37,98,15.41,KZ,2022-08-07 20:35:48
41,Souillac,-20.5167,57.5167,broken clouds,66.58,94,75,3.44,MU,2022-08-07 20:35:49
42,Saskylakh,71.9167,114.0833,overcast clouds,48.25,70,100,3.83,RU,2022-08-07 20:35:49
